method,Hit@1,MRR@1,Hit@3,MRR@3,Hit@5,MRR@5
retrieval_only,0.2,0.2,0.28,0.24,0.3,0.245
retrieval_plus_lexical_reranker,0.2,0.2,0.28,0.23666666666666664,0.3,0.24166666666666664
